CustomerID,Age,Gender,CustomerType,TimeOfDay,Weekend,DemandLevel,CompetitorPrice,PriceOffered,Purchased
1,22,Male,Student,Morning,No,Medium,100,90,1
2,35,Female,Professional,Evening,Yes,High,105,110,0
3,28,Male,Professional,Afternoon,No,Medium,100,100,1
4,19,Female,Student,Night,Yes,Low,95,85,1
5,45,Male,Business,Morning,No,High,120,115,0
6,31,Female,Professional,Evening,Yes,Medium,100,95,1
7,24,Male,Student,Afternoon,No,Low,90,85,1
8,38,Female,Business,Night,Yes,High,110,120,0
9,27,Male,Professional,Morning,No,Medium,100,100,1
10,21,Female,Student,Evening,Yes,High,95,90,1
11,41,Male,Business,Afternoon,No,Medium,105,110,0
12,30,Female,Professional,Morning,No,Low,100,95,1
13,26,Male,Student,Night,Yes,Medium,90,85,1
14,50,Female,Business,Evening,No,High,120,115,0
15,34,Male,Professional,Afternoon,Yes,Medium,100,105,1
16,23,Female,Student,Morning,No,Low,90,80,1
17,29,Male,Professional,Night,Yes,High,110,115,0
18,37,Female,Business,Evening,No,Medium,105,100,1
19,20,Male,Student,Afternoon,Yes,Low,95,85,1
20,43,Female,Business,Morning,No,High,120,110,0
21,25,Male,Student,Evening,No,Medium,100,95,1
22,33,Female,Professional,Afternoon,Yes,High,105,110,0
23,39,Male,Business,Morning,No,Medium,110,105,1
24,18,Female,Student,Night,Yes,Low,90,80,1
25,47,Male,Business,Evening,No,High,120,120,0
26,32,Female,Professional,Morning,Yes,Medium,100,100,1
27,24,Male,Student,Afternoon,No,Low,95,90,1
28,36,Female,Business,Night,Yes,High,110,115,0
29,27,Male,Professional,Evening,No,Medium,100,100,1
30,22,Female,Student,Morning,Yes,Low,90,85,1
